"icao_airline","tail_number","event_date","Total_impression_cnt","non_video_impression_cnt","clickable_impression_cnt","total_click_cnt","video_impression_cnt","total_skip_cnt","total_complete_cnt"
"P4N","P87531","2026-01-21","9324","8727","2001","17","597","11","590"
"P4N","P17413","2026-01-01","7094","5948","3221","33","1146","37","1127"
"P4N","P17310","2026-01-01","9649","8273","3571","40","1376","48","1340"
"P4N","P44501","2026-01-01","13581","11948","5447","40","1633","55","1583"
"P4N","P27304","2026-01-01","11822","10246","4272","43","1576","62","1538"
"P4N","P26910","2026-01-01","7464","5686","5499","43","1778","61","1733"
"P4N","P27964","2026-01-01","23549","21166","11094","49","2383","53","2335"
"P4N","P2044N","2026-01-01","14881","13835","5088","36","1046","66","1003"
"P4N","P17316","2026-01-09","6435","5702","1888","16","733","27","713"
"P4N","P27271","2026-01-15","11478","10729","2761","18","749","11","739"
"P4N","P76265","2026-01-14","12689","11927","2637","21","762","25","739"
"P4N","P27511","2026-01-14","12237","11319","2900","16","918","20","898"
"P4N","P69840","2026-01-15","17955","16387","5183","64","1568","34","1537"
"P4N","P29991","2026-01-14","16315","14917","7250","32","1398","32","1368"
"P4N","P26966","2026-01-16","19234","17037","5819","34","2197","55","2147"
"P4N","P14545","2026-02-02","20066","18566","5352","59","1500","41","1460"
"P4N","P14517","2026-02-01","19316","18033","5232","51","1283","32","1251"
"P4N","P78003","2026-02-01","18026","16974","8571","24","1052","26","1028"
"P4N","P62896","2026-02-02","11483","10766","3054","20","717","30","688"
"P4N","P26910","2026-02-01","3675","3582","246","6","93","2","92"
"P4N","P6594N","2026-02-01","27502","27502","18123","34","0","4","1"
"P4N","P76529","2026-02-01","14943","14190","3247","28","753","21","732"
"P4N","P17279","2026-02-01","13435","12751","3440","18","684","14","671"
"P4N","P17338","2026-02-01","8540","8146","2604","14","394","13","381"
"P4N","P7884N","2026-01-20","18630","16420","6479","53","2210","44","2175"
"P4N","P37278","2026-01-10","13422","12270","4072","25","1152","34","1121"
"P4N","P17104","2026-01-19","9507","8887","2125","16","620","9","611"
"P4N","P27268","2026-01-20","13100","11906","3592","31","1194","36","1166"
"P4N","P24202","2026-01-19","16889","15805","3997","33","1084","34","1051"
"P4N","P23983","2026-01-19","17790","15687","6200","50","2103","56","2059"
"P4N","P17410","2026-01-20","24873","23434","5640","40","1439","35","1405"
"P4N","P14530","2026-01-19","19283","17233","6136","101","2050","46","2009"
"P4N","P37567","2026-01-19","18143","16492","5355","57","1651","40","1622"
"P4N","P2748U","2026-01-18","11437","10382","3104","43","1055","33","1031"
"P4N","P37365","2026-01-19","14923","13957","3670","28","966","21","952"
"P4N","P24972","2026-01-19","11824","10679","3580","28","1145","50","1095"
"P4N","P2142U","2026-01-18","39668","37070","18603","134","2598","79","2542"
"P4N","P61887","2026-01-19","12538","11527","3359","14","1011","28","984"
"P4N","P76288","2026-01-13","18164","17036","3980","28","1128","40","1099"
"P4N","P38458","2026-01-13","16218","14948","4200","22","1270","30","1243"
"P4N","P13227","2026-01-13","13300","12683","3167","26","617","11","610"
"P4N","P78003","2026-01-13","14595","13608","5729","21","987","25","966"
"P4N","P27304","2026-01-13","15291","14292","3498","26","999","27","979"
"P4N","P13138","2026-01-12","16828","16085","6663","17","743","18","729"
"P4N","P7994N","2026-01-13","25891","23547","8587","69","2344","91","2265"
"P4N","P12003","2026-01-13","14624","12858","3147","40","1766","46","1724"
"P4N","P27260","2026-01-09","17357","16220","4230","29","1137","42","1096"
"P4N","P8014N","2026-01-09","9268","8606","1872","25","662","22","651"
"P4N","P8904N","2026-01-09","14753","13901","2829","20","852","19","833"
"P4N","P68891","2026-01-09","19682","17795","6161","35","1887","45","1845"
"P4N","P4944N","2026-01-09","17487","16210","4316","43","1277","30","1253"
"P4N","P24224","2026-01-08","15371","14613","2798","20","758","22","742"
"P4N","P27255","2026-01-09","18074","16621","5154","36","1453","44","1416"
"P4N","P4534N","2026-01-09","14559","13668","3632","19","891","25","867"
