zone_name,lag_1d,lag_7d,rolling_mean_7d,rolling_mean_30d,rolling_std_7d,active_campaigns_in_zone,days_since_last,total_planned_daily_demand,paid_ratio,day_of_week,is_weekend,month,cat_fb,cat_home,cat_movies,cat_music,cat_other,cat_tv,cat_welcome,predicted_imp_per_flight,daily_capacity
TV > Chinese (traditional),0.022130013831258646,0.06157965194109773,0.06730715015192598,0.06702111179253885,0.0357253270750201,4,9,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.46561825,338.83707
TV > Dutch,0.017699115044247787,0.04825737265415549,0.022632846906588757,0.021567693351731077,0.013340959818015823,7,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.46561825,338.83707
TV > Japanese,0.09587020648967552,0.09164420485175202,0.10545379757297775,0.039837399040151225,0.0343649905587541,10,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.46561825,338.83707
TV > Korean,0.009708737864077669,0.048223350253807105,0.021074774412188517,0.037900867662576825,0.016487968971405233,4,428,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.49502784,360.23883
TV > Recently Added,1.0,4.0,10.142857142857142,52.90712633811541,9.15475416434127,1,-199,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.900568,2110.785
TV > Spanish,3.0,0.12516644474034622,0.5200407411673035,0.19160621809956513,1.0938772195699404,2,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,2.7341616,1989.6885
TV > Subtitled/Captioned TV,0.22418879056047197,0.20080862533692723,0.26322577346777754,0.2757622611117334,0.046440464274114426,17,8,0.0,0.0,2,0,5,0,0,0,0,0,1,0,0.5228882,380.5132
TV Under Half Hour,31.0,22.0,13.714285714285714,32.18703074650877,10.387721689800987,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,29.899574,21758.348
TV Under One Hour,6.0,5.0,4.285714285714286,13.375876036695667,2.138089935299395,3,-198,0.0,0.0,2,0,5,0,0,0,0,0,1,0,5.591328,4068.8894
Thriller,2.0,2.4365781710914454,2.3480825958702067,5.290111780749599,1.1062300879292217,2,-198,0.0,0.0,2,0,5,0,0,0,0,1,0,0,2.3706374,1725.1467
U,1.0,1.9454061251664447,1.6146965028202516,1.7316116793535294,0.508131668812249,1,-175,0.0,0.0,2,0,5,0,0,0,0,1,0,0,1.3385782,974.1025
United Videos,0.3952802359882006,0.7035040431266847,0.6856137684470381,0.5131952503295653,0.13458310021460362,16,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.7530309,547.99133
V,0.23156342182890854,0.46101231190150477,0.39265460943916336,0.3462729415897172,0.14739909795840428,16,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.5592476,406.97247
Veeps > Concerts,0.014749262536873156,0.03908355795148248,0.023145297350028435,0.016389459160676332,0.01732195159153061,5,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
Veeps > Featured List,0.03687315634218289,0.005390835579514825,0.022602177948224483,0.01711358910252319,0.017816770895375495,7,8,0.0,0.0,2,0,5,0,0,0,0,1,0,0,0.46561825,338.83707
