campaign_id,campaign_name,revenue_type,goal_type,planned_daily_impressions,pacing_gap,time_urgency,zone_fit,contract_weight,goal_modifier,priority_score,queue_position
8194,NEXT_2604_TEST_LargeCard_1,house,consideration,0.0,0.0,13.42,20.0,6.67,20.0,60.08,113
8064,Chase AE Apr26 Banner Campaign,house,consideration,0.0,0.0,12.7,20.0,6.67,20.0,59.36,114
6616,1905804_Spotify_Project Lime Media_2025/26_Display,partner,consideration,25462.963888888888,0.0,5.48,20.0,13.33,20.0,58.81,115
7780,Vodafone IFE Banners 2026,partner,consideration,0.0,0.0,5.45,20.0,13.33,20.0,58.78,116
8068,Deloitte May26 LiveTV Hero banner campaign CD,house,awareness,0.0,0.0,14.41,20.0,6.67,16.67,57.74,117
7749,NEXT_2602_BN_WS_Wifi,house,consideration,0.0,0.0,10.95,20.0,6.67,20.0,57.62,118
7846,NEXT_2603_BN_FTO_GBL,house,consideration,0.0,0.0,10.89,20.0,6.67,20.0,57.56,119
7847,NEXT_2603_BN_DL_GBL,house,consideration,0.0,0.0,10.89,20.0,6.67,20.0,57.56,120
8147,Complimentary_&_Limitless Internet - I - Screensavers - April 2026 -  TR & EN,house,awareness,0.0,0.0,13.42,20.0,6.67,16.67,56.75,121
7785,Chase_Co-brand Card_Awareness_Spring 2026 85k,house,consideration,0.0,0.0,9.91,20.0,6.67,20.0,56.58,122
8070,Deloitte Apr26 LiveTV Hero banner campaign Astrova,house,awareness,0.0,0.0,12.7,20.0,6.67,16.67,56.03,123
8069,Pepsi Apr26 F&B banner campaign Astrova,house,awareness,0.0,0.0,12.7,20.0,6.67,16.67,56.03,124
8067,Pepsi Apr26 F&B banner campaign CD,house,awareness,0.0,0.0,12.7,20.0,6.67,16.67,56.03,125
8107,New Cabin YCL Prime media grid,house,consideration,0.0,0.0,9.26,20.0,6.67,20.0,55.92,126
7786,February 2026 Interactive Update Banner Campaign Endel - Consideration to Click through Banner to Full Page,house,consideration,0.0,0.0,8.49,20.0,6.67,20.0,55.15,127
7740,AC Bell Fee WiFi Jan26 banner campaign Astrova,house,consideration,0.0,0.0,8.29,20.0,6.67,20.0,54.96,128
7741,AC Bell Fee Texting Jan26 banner campaign Astrova,house,consideration,0.0,0.0,8.29,20.0,6.67,20.0,54.96,129
7742,AC Manage Your Booking Jan26 banner campaign Astrova,house,consideration,0.0,0.0,8.29,20.0,6.67,20.0,54.96,130
7938,BMM Q2_2026,house,awareness,0.0,0.0,10.95,20.0,6.67,16.67,54.29,131
8109,RIR 2026 Video,house,awareness,0.0,0.0,10.83,20.0,6.67,16.67,54.17,132
8235,May 2026 Air Europa 40 Years History Microsite,house,consideration,0.0,0.0,6.28,20.0,6.67,20.0,52.94,133
8110,New Software Test Campaign,house,consideration,0.0,0.0,6.22,20.0,6.67,20.0,52.89,134
7869,TAWGC 2026 - I - Screensavers - February 2026 -  Tur & Eng,house,awareness,0.0,0.0,9.53,20.0,6.67,16.67,52.86,135
8049,UA_Viator_Promo_Display,house,consideration,0.0,0.0,6.18,20.0,6.67,20.0,52.84,136
8274,Loyalty RBC,house,awareness,0.0,0.0,9.41,20.0,6.67,16.67,52.74,137
8272,Odiyo Audio Book May- Aug,house,awareness,0.0,0.0,9.41,20.0,6.67,16.67,52.74,138
7577,December 2025 Interactive Update Banner Campaign - Microsite - Version 1,house,consideration,0.0,0.0,5.97,20.0,6.67,20.0,52.64,139
7196,EX3_IBOB_BN_AtmosRewards_Oct25,house,consideration,0.0,0.0,5.97,20.0,6.67,20.0,52.64,140
7157,EX2_IBOB_BN_AtmosRewards_Oct25,house,consideration,0.0,0.0,5.97,20.0,6.67,20.0,52.64,141
7197,EX3_IBOB_BN_AtmosCC_Oct25,house,consideration,0.0,0.0,5.97,20.0,6.67,20.0,52.64,142
7234,EX2_IBOB_BN_AtmosCC_Oct25,house,consideration,0.0,0.0,5.97,20.0,6.67,20.0,52.64,143
8105,New Cabin YCL Prime,house,awareness,0.0,0.0,9.26,20.0,6.67,16.67,52.59,144
7691,2075046_UA_ALWAYS ON HOUSE CAMPAIGN 2026 (IFE)_Display,house,consideration,0.0,0.0,5.45,20.0,6.67,20.0,52.11,145
7611,Audible Banners 2026,house,consideration,0.0,0.0,5.45,20.0,6.67,20.0,52.11,146
6677,Bell Free WIFI Jun25 Banner Campaign,house,consideration,0.0,0.0,5.4,20.0,6.67,20.0,52.06,147
6675,Bell WIFI Texting Jun25 Banner Campaign,house,consideration,0.0,0.0,5.4,20.0,6.67,20.0,52.06,148
6451,Air Canada Wi-Fi May25 banner campaign CD,house,consideration,0.0,0.0,5.18,20.0,6.67,20.0,51.85,149
7193,IFE_Starlink_Home_Zone1_2025,house,consideration,0.0,0.0,4.91,20.0,6.67,20.0,51.58,150
7791,AC Apology Disclaimer Jan26 banner campaign Astrova,house,awareness,0.0,0.0,8.07,20.0,6.67,16.67,51.4,151
7534,TKPAY - I - Screensaver - December 2025 - Tur & Eng,house,awareness,0.0,0.0,7.72,20.0,6.67,16.67,51.06,152
7537,Turkish Holidays - I - Screensaver - December 2025 - English,house,awareness,0.0,0.0,7.72,20.0,6.67,16.67,51.06,153
