campaign_id,campaign_name,planned_daily,allocated_daily,fulfillment_pct,confidence
6862,EX3_OB_BN_Lawrys4_Aug 2025,0.0,0.0,100.0,High
6863,EX3_IB_BN_Chandelier Holdings1_Aug2025,0.0,0.0,100.0,High
6864,EX3_IB_BN_Chandelier Holdings2_Aug2025,0.0,0.0,100.0,High
7910,2077450_CO_Co-Op Glasgow Airport_Display,11088.01,11088.02,100.0,High
7938,BMM Q2_2026,0.0,0.0,100.0,High
6915,MP Member Enrollment_Rich Media - Evergreen,0.0,0.0,100.0,High
6916,Recent Searches_Rich Media - Evergreen,0.0,0.0,100.0,High
6917,Seat Upgrades_Rich Media - Evergreen,0.0,0.0,100.0,High
7942,Blue Lagoon Skin Science Moving Map 2026,0.0,0.0,100.0,High
4361,MileagePlus_Non-Member_Enrollment_Awareness_Jan'24,0.0,0.0,100.0,High
3853,eX3 Infinity MileageLands static - B - Sept 2023,0.0,0.0,100.0,High
6860,EX3_OB_BN_Lawrys2_Aug 2025,0.0,0.0,100.0,High
7959,March 2026 WiFi PanaSky Portal Banners,0.0,0.0,100.0,High
7309,Skytrax Voting - I - Screensaver - October 2025 - Tur & Eng,0.0,0.0,100.0,High
7811,EX3_IB_BN_Luau Kalamaku3_Feb2026,0.0,0.0,100.0,High
7762,1979913_KM_TN Dept Economic Dev FY26_Display,6983.65,6983.65,100.0,High
7778,Vodafone 2026 Interstitial,0.0,0.0,100.0,High
7779,Vodafone HPW 2026,0.0,0.0,100.0,High
7780,Vodafone IFE Banners 2026,0.0,0.0,100.0,High
5221,Limitless Messaging - BC + EC - I - Screensaver - October 2024,0.0,0.0,100.0,High
8293,Uber,0.0,0.0,100.0,High
3175,IFE Highlights - 2023-2024-2025-2026,0.0,0.0,100.0,High
7781,Vodafone Portal 2026,0.0,0.0,100.0,High
7785,Chase_Co-brand Card_Awareness_Spring 2026 85k,0.0,0.0,100.0,High
7786,February 2026 Interactive Update Banner Campaign Endel - Consideration to Click through Banner to Full Page,0.0,0.0,100.0,High
6254,MP Map FOP Evergreen,0.0,0.0,100.0,High
6255,MP Map Idle Full Screen Evergreen,0.0,0.0,100.0,High
4748,EX3_IB_BN_Stix Asia_Oct2024,0.0,0.0,100.0,High
6256,MP Map Ticker  Evergreen,0.0,0.0,100.0,High
6782,EX2_IB_BN_Chandelier Holdings1_Aug2025,0.0,0.0,100.0,High
6783,EX2_IB_BN_Chandelier Holdings2_Aug2025,0.0,0.0,100.0,High
6784,EX2_OB_BN_Lawrys1_Aug 2025,0.0,0.0,100.0,High
6785,EX2_OB_BN_Lawrys2_Aug 2025,0.0,0.0,100.0,High
7806,EX2_IB_BN_Luau Kalamaku3_Feb2026,0.0,0.0,100.0,High
6787,EX2_OB_BN_Lawrys3_Aug 2025,0.0,0.0,100.0,High
6788,EX2_OB_BN_Lawrys4_Aug 2025,0.0,0.0,100.0,High
7807,EX2_IB_BN_Luau Kalamaku4_Feb2026,0.0,0.0,100.0,High
7809,EX3_IB_BN_Luau Kalamaku1_Feb2026,0.0,0.0,100.0,High
5255,EX3_IB_BN_Bishop Museum2_Oct2023,0.0,0.0,100.0,High
5256,EX3_IB_BN_Polynesian Adventure2_Jun2023,0.0,0.0,100.0,High
7810,EX3_IB_BN_Luau Kalamaku2_Feb2026,0.0,0.0,100.0,High
7791,AC Apology Disclaimer Jan26 banner campaign Astrova,0.0,0.0,100.0,High
8191,NEXT_2604_TEST_DividerShort_Right_2,0.0,0.0,100.0,High
